"file","module","object_type","object_name"
"058_db_audit_triggers_core.sql","seguridad","function","audit_table_changes"
"059_create_outbox_events.sql","core","function","update_outbox_events_updated_at"
"059_create_outbox_events.sql","core","function","get_pending_outbox_events"
"059_create_outbox_events.sql","core","function","mark_outbox_event_processing"
"059_create_outbox_events.sql","core","function","mark_outbox_event_completed"
"059_create_outbox_events.sql","core","function","mark_outbox_event_failed"
"059_create_outbox_events.sql","core","policy","users can only see outbox events from their tenant on outbox_events"
"059_create_outbox_events.sql","core","policy","users can only insert outbox events for their tenant on outbox_events"
"059_create_outbox_events.sql","core","policy","users can only update outbox events from their tenant on outbox_events"
"062_atomic_stock_entry.sql","inventario","function","registrar_entrada_stock_atomico"
"063_audit_log_rotation.sql","seguridad","table","audit_log_archive"
"063_audit_log_rotation.sql","seguridad","function","rotar_logs_auditoria"
"063_audit_log_rotation.sql","seguridad","function","obtener_estadisticas_logs_auditoria"
"064_add_missing_indices_tenant_created.sql","seguridad","view","v_indices_tenant_created_summary"
"064_add_missing_indices_tenant_created.sql","seguridad","function","create_index_if_not_exists"
"064_add_missing_indices_tenant_created.sql","seguridad","function","table_has_column"
"071__inventario_kardex_valorizado.sql","inventario","view","vw_kardex_valorizado"
"072__inventario_kardex_views.sql","inventario","view","vw_inventario_recepciones"
"072__inventario_kardex_views.sql","inventario","view","vw_inventario_kardex_resumen"
"074__tesoreria_pago_outbox.sql","finanzas","function","procesar_pago_lote"
"076__fix_pos_stock_y_detalle.sql","inventario","view","vista_pos_productos"
"076__fix_pos_stock_y_detalle.sql","inventario","view","vw_ventas_pos_completas"
"076__fix_pos_stock_y_detalle.sql","inventario","function","migrar_detalles_ventas_pos_desde_observaciones"
"076__fix_pos_stock_y_detalle.sql","inventario","function","validar_stock_antes_detalle_venta"
"076__fix_pos_stock_y_detalle.sql","inventario","function","diagnostico_pos"
"076__fix_pos_stock_y_detalle.sql","inventario","policy","stock_movimientos_tenant_isolation on stock_movimientos"
"077__habilitar_rls_users_audit_archive.sql","seguridad","function","diagnostico_seguridad_rls"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","users_view_own_profile on users"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","users_update_own_profile on users"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","users_service_role_all on users"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","audit_log_archive_tenant_read on audit_log_archive"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","audit_log_archive_service_role_all on audit_log_archive"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","audit_log_archive_system_insert on audit_log_archive"
"077__habilitar_rls_users_audit_archive.sql","seguridad","policy","movimientos_inventario_tenant_isolation on movimientos_inventario"
"078__fix_cpe_documentos_integridad.sql","fiscal","view","vw_cpe_documentos_auditoria"
"078__fix_cpe_documentos_integridad.sql","fiscal","function","crear_documento_desde_cpe"
"078__fix_cpe_documentos_integridad.sql","fiscal","function","migrar_cpes_a_documentos"
"078__fix_cpe_documentos_integridad.sql","fiscal","function","trigger_crear_documento_para_cpe"
"078__fix_cpe_documentos_integridad.sql","fiscal","function","diagnostico_cpe_documentos"
"079__seed_catalogos_maestros.sql","core","function","seed_plan_cuentas_tenant"
"079__seed_catalogos_maestros.sql","core","function","trigger_seed_catalogos_nuevo_tenant"
"080__habilitar_rls_audit_log.sql","seguridad","function","cleanup_old_rls_audit_logs"
"080__habilitar_rls_audit_log.sql","seguridad","policy","rls_audit_log_insert_unrestricted on rls_audit_log"
"080__habilitar_rls_audit_log.sql","seguridad","policy","rls_audit_log_select_service_role on rls_audit_log"
"080__habilitar_rls_audit_log.sql","seguridad","policy","rls_audit_log_no_update on rls_audit_log"
"080__habilitar_rls_audit_log.sql","seguridad","policy","rls_audit_log_delete_service_role on rls_audit_log"
"081__metodos_pago_por_tenant.sql","seguridad","function","copiar_metodos_pago_globales_a_tenant"
"081__metodos_pago_por_tenant.sql","seguridad","function","trigger_copiar_metodos_pago_nuevo_tenant"
"081__metodos_pago_por_tenant.sql","seguridad","policy","metodos_pago_select_tenant on metodos_pago"
"081__metodos_pago_por_tenant.sql","seguridad","policy","metodos_pago_insert_tenant on metodos_pago"
"081__metodos_pago_por_tenant.sql","seguridad","policy","metodos_pago_update_tenant on metodos_pago"
"081__metodos_pago_por_tenant.sql","seguridad","policy","metodos_pago_delete_tenant on metodos_pago"
"082__comunicacion_baja_resumen_diario.sql","core","table","comunicaciones_baja"
"082__comunicacion_baja_resumen_diario.sql","core","table","resumenes_diarios"
"082__comunicacion_baja_resumen_diario.sql","core","table","detalle_comunicacion_baja"
"082__comunicacion_baja_resumen_diario.sql","core","table","detalle_resumen_diario"
"082__comunicacion_baja_resumen_diario.sql","core","function","generar_numero_comunicacion_baja"
"082__comunicacion_baja_resumen_diario.sql","core","function","generar_numero_resumen_diario"
"082__comunicacion_baja_resumen_diario.sql","core","policy","comunicaciones_baja_tenant_isolation on comunicaciones_baja"
"082__comunicacion_baja_resumen_diario.sql","core","policy","resumenes_diarios_tenant_isolation on resumenes_diarios"
"086__flujo_ventas_completo.sql","ventas","table","plantillas_asientos_ventas"
"086__flujo_ventas_completo.sql","ventas","function","obtener_siguiente_numero_documento"
"086__flujo_ventas_documentos_completo.sql","ventas","table","plantillas_asientos_ventas"
"086__flujo_ventas_documentos_completo.sql","ventas","function","obtener_siguiente_numero_documento"
"086__flujo_ventas_documentos_completo.sql","ventas","policy","plantillas_asientos_ventas_tenant_isolation on plantillas_asientos_ventas"
"087__fix_rls_permisos_roles.sql","seguridad","policy","permisos_allow_read on public.permisos"
"087__fix_rls_permisos_roles.sql","seguridad","policy","permisos_superadmin_write on public.permisos"
"087__fix_rls_permisos_roles.sql","seguridad","policy","rol_permisos_allow_read on public.rol_permisos"
"087__fix_rls_permisos_roles.sql","seguridad","policy","rol_permisos_superadmin_write on public.rol_permisos"
"088__fix_permisos_rls_simple.sql","seguridad","policy","permisos_service_role_read on public.permisos"
"088__fix_permisos_rls_simple.sql","seguridad","policy","permisos_authenticated_read on public.permisos"
"088__fix_permisos_rls_simple.sql","seguridad","policy","permisos_service_role_write on public.permisos"
"088__fix_permisos_rls_simple.sql","seguridad","policy","rol_permisos_service_role_read on public.rol_permisos"
"088__fix_permisos_rls_simple.sql","seguridad","policy","rol_permisos_authenticated_read on public.rol_permisos"
"088__fix_permisos_rls_simple.sql","seguridad","policy","rol_permisos_service_role_write on public.rol_permisos"
"091__fix_stock_actual_references.sql","inventario","function","reservar_stock_atomico"
"091__fix_stock_actual_references.sql","inventario","function","descontar_stock_y_liberar_reserva"
"093__fix_wizard_rls_and_validation.sql","seguridad","function","validate_wizard_completion"
"093__fix_wizard_rls_and_validation.sql","seguridad","function","check_wizard_completion_validity"
"093__fix_wizard_rls_and_validation.sql","seguridad","policy","users can view their own tenant wizard progress on wizard_progress"
"093__fix_wizard_rls_and_validation.sql","seguridad","policy","users can insert their own tenant wizard progress on wizard_progress"
